Gender,Norwegian ,Class,Grammatical Form ,English ,
,• være i tvil,,,,• be in doubt
å,tvile,,verb,"tviler, tvilte, har tvilt",doubt
en,tvilling,,noun,"tvillingen, tvillinger, tvillingene",twin
å,tvinge,,verb,"tvinger, tvang, har tvunget",force
en,tyggegummi,,noun,"tyggegummien, tyggegummier, tyggegummiene",chewing gum
,tykk/tjukk,,adj.,"tykt/tjukt, tykke, tjukke","thick, fat"
,tynn,,adj.,"tynt, tynne",thin
,typisk,,adj.,"typisk, typiske",typical
,Tyrkia,,noun,,Turkey
,tyrkisk,,adj.,"tyrkisk, tyrkiske",Turkish
en,tyrkisk,,noun,tyrkisken,Turkish language
,tysk,,adj.,"tysk, tyske",German
en,tysk,,noun,tysken,German language
,Tyskland,,noun,,Germany
et,tyttebær,,noun,"tyttebæret, tyttebær, tyttebærene",lingonberry
,tøff,,adj.,"tøft, tøffe",tough
en,tøffel,,noun,"tøffelen, tøfler, tøflene",slipper
et,tømmer,,noun,tømmeret,timber
å,tørke,,verb,"tørker, tørket, har tørket",dry
å,tørke seg,,"verb, refl.","tørker seg, tørket seg, har tørket seg",dry oneself
et,tørkeskap,,noun,"tørkeskapet, tørkeskap, tørkeskapene",drying closet for clothes
en,tørketrommel,,noun,"tørketrommelen, tørketromler, tørketromlene",clothes dryer
,tørst,,adj.,"tørst, tørste",thirsty
ei/en,tå,,noun,"tåa/tåen, tær, tærne",toe
ei/en,tåke,,noun,tåka/tåken,fog
,tåkete,,adj.,"tåkete, tåkete",foggy
,tålmodig,,adj.,"tålmodig, tålmodige",patient
,,,,,
,,,,,
,,,,,
,adj.,"uavgjort, uavgjorte",tied in a game or match,,
,ubehagelig,,adj.,"ubehagelig, ubehagelige","uncomfortable, unpleasant"
,ubestemt,,adj.,"ubestemt, ubestemte",undecided; indefinite
,• ubestemt form,,,,• indefinite form
,uff,,interj.,,"ugh (annoyance, sadness, etc.)"
ei/en,uføredekning,,noun,uføredekninga/uføredekningen,disability coverage
,ugift,,adj.,"ugift, ugifte","single, unmarried"
,ugrei,,adj.,"ugreit, ugreie",difficult to get along with
,uhøflig,,adj/adv.,"uhøflig, uhøflige",impolite; impolitely
ei/en,uke,,noun,"uka/uken, uker, ukene",week
et,ukeblad,,noun,"ukebladet, ukeblader, ukebladene",weekly magazine
ei/en,ukedag,,noun,"ukedagen, ukedager, ukedagene",weekday
ei/en,ulempe,,noun,"ulempa/ulempen, ulemper, ulempene",disadvantage
ei/en,ull,,noun,"ulla/ullen, uller, ullene",wool
,ulykkelig,,adj./adv.,"ulykkelig, ulykkelige",unhappy; unhappily
,under,,prep.,,under; during
,• under krigen,,,,• during the war
ei/en,underbukse,,noun,"underbuksa/underbuksen, underbukser, underbuksene",pair of underpants
en,underetasje,,noun,"underetasjen, underetasjer, underetasjene",basement
en,underholdning,,noun,underholdninga/underholdningen,entertainment
en,undersøkelse,,noun,"undersøkelsen, undersøkelser, undersøkelsene","a research study, survey"
å,undertegne,,verb,"undertegner, undertegnet, har undertegnet",sign
et,undertøy,,noun,undertøyet,underclothing
,underveis,,adv.,,on the way
å,undervise,,verb,"underviser, underviste, har undervist","instruct, teach"
,• undervise i norsk,,,,• instruct in Norwegian
ei/en,undervisning,,noun,"undervisninga/-visningen, undervisninger, undervisningene","instruction, teaching"
,ung,,adj.,"ungt, unge",young
,Ungarn,,noun,,Hungary
,ungarsk,,adj.,"ungarsk, ungarske",Hungarian
en,ungarsk,,noun,ungarsken,Hungarian language
en,ungdom,,noun,"ungdommen, ungdommer, ungdommene","youth, young people"
en,ungdomsskole,,noun,"ungdomsskolen, ungdomsskoler, ungdomsskolene",junior high school
en,unge,,noun,"ungen, unger, ungene","young one, child"
,unik,,adj.,"unikt, unike",unique
en,union,,noun,"unionen, unioner, unionene",union
et,universitet,,noun,"universitetet, universiteter, universitetene",university
,unnskyld,,interj.,,excuse me; sorry
,"• Unnskyld, hvor er toalettet?",,,,"• Excuse me, where is
the restroom?"
å,unnskylde,,verb,"unnskylder, unnskyldte, har unnskyldt",excuse
å,unnskylde seg,,"verb, refl.","unnskylder seg, unnskyldte seg, har unnskyldt seg",excuse onself
et,unntak,,noun,"unntaket, unntak, unntakene",exception
,uopplagt,,adj.,"uopplagt, uopplagte",unmotivated
,upålitelig,,adj.,"upålitelig, upålitelige",unreliable
ei/en,urbefolkning,,noun,"urbefolkninga/-en, urbefolkninger, urbefolkningene",indigenous people
en,urdu,,noun,urduen,Urdu language
,uregelmessig,,adj.,"uregelmessig, uregelmessige",irregular
,urolig,,adj.,"urolig, urolige","anxious, worried; restless"
,USA,,noun,,USA
,uselvstendig,,adj.,"uselvstendig, uselvstendige",dependent
,usosial,,adj.,"usosialt, usosiale",antisocial
,usunn,,adj.,"usunt, usunne",unhealthy
,utadvendt,,adj.,"utadvendt, utadvendte",extrovert
ei/en,utdanning,,noun,"utdanninga/utdanningen, utdanninger, utdanningene",education
,ute,,adv.,"ute (with location), ut (with motion)","out, outside"
,• Han er ute.,,,,• He is outside.
,• Skal du gå ut?,,,,• Are you going outside?
et,utearbeid,,noun,utearbeidet,outdoor work
en/et,utedo,,noun,"utedoen/utedoet, utedoer/utedo, utedoene",outhouse
en/et,utekafé,,noun,"utekaféen, utekaféer, utekaféene",patio cafe
,uten,,prep.,,without
,utenfor,,adv.,,isolated; out of it
,• Han føler seg utenfor.,,,,• He feels left out.
,utenfor,,prep.,,"outside of, out of, beyond"
,• Han står utenfor butikken.,,,,• He stands outside the store.
ei/en,utflukt,,noun,"utflukta/utflukten, utflukter, utfluktene","excursion, day trip"
,utfordrende,,adj.,"utfordrende, utfordrende",challenging
ei/en,utfordring,,noun,"utfordringa/utfordingen, utfordringer, utfordringene",challenge
ei/en,utgift,,noun,"utgifta/utgiften, utgifter, utgiftene",expense
et,utland,,noun,utlandet,"abroad, foreign countries"
,• være i utlandet,,,,• be abroad
,utmerket,,adj.,"utmerket, utmerkede/utmerkete","great, terrific"
,utringet,,adj.,"utringet, utringede/utringete",low-cut
,utrolig,,adj.,"utrolig, utrolige",unbelievable
et,utseende,,noun,"utseendet, utseender, utseendene",appearance
å,utsette,,verb,"utsetter, utsatte, har utsatt","put off, postpone"
en,utsikt,,noun,"utsikten, utsikter, utsiktene",view
et,utslett,,noun,"utslettet, utslett, utslettene",rash
et,utstyr,,noun,"utstyret, utstyr, utstyrene",equipment
en,uttale,,noun,"uttalen, uttaler, uttalene",pronunciation
å,uttale,,verb,"uttaler, uttalte, har uttalt",pronounce
,• uttale norsk riktig,,,,• pronounce Norwegian correctly
et,uttrykk,,noun,"uttrykket, uttrykk, uttrykkene",idiomatic expression
å,uttrykke,,verb,"uttrykker, uttrykket, har uttrykket",express
å,uttrykke seg,,verb,"uttrykker seg, uttrykket seg, har uttrykket seg",express oneself
et,utvalg,,noun,"utvalget, utvalg, utvalgene",selection
å,utvandre,,verb,"utvandrer, utvandret, har utvandret",emigrate
ei/en,utvandring,,noun,"utvandringa/utvandringen, utvandringer, utvandringene",emigration
å,utvikle,,verb,"utvikler, utviklet, har utviklet",develop
ei/en,utvikling,,noun,"utviklinga/utviklingen, utviklinger, utviklingene",development
,utålmodig,,adj.,"utålmodig, utålmodige",impatient
,uvanlig,,adj.,"uvanlig, uvanlige","unusual, uncommon"
,uvennlig,,adj.,"uvennlig, uvennlige",unfriendly
,uærlig,,adj.,"uærlig, uærlige",dishonest
,,,,,
,,,,,
,,,,,
vaffel,,noun,"vaffelen, vafler, vaflene",waffle,
,vakker,,adj.,"vakkert, vakre",beautiful
et,valgfag,,noun,"valgfaget, valgfag, valgfagene",elective course
et,vandrerhjem,,noun,"vandrerhjemmet, vandrerhjem, vandrerhjemmene",(youth) hostel
,vanlig,,adj.,"vanlig, vanlige","common, normal"
,vanligvis,,adv.,,usually
et,vann,,noun,"vannet, vann, vannene",water; lake
,vannkopper,,"noun, pl.",vannkoppene,chicken pox
,vannrett,,adj.,"vannrett, vannrette",horizontal
ei/en,vannski,,noun,"-skia/-skien, -ski/-skier, -skiene",water ski
,vanskelig,,adj.,"vanskelig, vanskelige","difficult, hard"
,vant,,adj.,"vant, vante","usual, customary"
,var,,verb,past tense of “være”,"was, were"
en,varde,,noun,"varden, varder, vardene",cairn
ei/en,vare,,noun,"vara/varen, varer, varene","goods, ware, product"
å,vare,,verb,"varer, varte, har vart",last
et,varehus,,noun,"varehuset, varehus, varehusene",department store
en,variasjon,,noun,"variasjonen, variasjoner, varisasjonene",variation
å,variere,,verb,"varierer, varierte, har variert",vary
,variert,,adj.,"variert, varierte",varied
,varm,,adj.,"varmt, varme",warm
en,varmegrad,,noun,"varmegraden, varmegrader, varmegradene",degree above freezing
en,varmekabel,,noun,"varmekabelen, varmekabler, varmekablene",heat cables in heated floors
en,vase,,noun,"vasen, vaser, vasene",vase
en,vask,,noun,"vasken, vasker, vaskene",sink
å,vaske,,verb,"vasker, vasket, har vasket",wash
,• vaske bilen,,,,• wash the car
,• vaske håret,,,,• wash one’s hair
,• vaske klær,,,,• wash clothes
,• vaske opp,,,,• wash dishes
å,vaske seg,,"verb, refl.","vasker seg, vasket seg, har vasket seg",wash oneself
en,vaskemaskin,,noun,"vaskemaskinen, vaskemaskiner, vaskemaskinene","washing machine, washer"
et,vaskerom,,noun,"vaskerommet, vaskerom, vaskerommene",laundry room
en,ved,,noun,veden,wood (collective noun)
,ved,,prep.,,"at, by"
,• ved siden av,,,,• beside
,• ved spesielle anledninger,,,,• on special occasions
,• ved århundreskiftet,,,,• at the turn of the century
en,vegan,,noun,"veganen, veganer, veganene",vegan
en,vegetarianer,,noun,"vegetarianeren, vegetarianere, vegetarianerne",vegetarian
,vegetarisk,,adj.,"vegetarisk, vegetariske",vegetarian
en,vegg,,noun,"veggen, vegger, veggene",wall
en,vei,,noun,"veien, veier, veiene","road, street; way"
,• kort vei,,,,• a short way
,• lang vei,,,,• a long way
å,veie,,verb,"veier, veide, har veid",weigh
å,vekke,,verb,"vekker, vekket, har vekket",wake up (someone)
ei/en,vekkerklokke,,noun,"vekkerklokka, vekkerklokker, vekkerklokkene",alarm clock
å,veksle,,verb,"veksler, vekslet, har vekslet",exchange
,veksle penger,,phrase,,exchange money
ei/en,vekt,,noun,"vekta/vekten, vekter, vektene",weight
ei/en,vektløfting,,noun,"vektløftinga/vektløftingen, vektløftinger, vektløftingene",weightlifting
,veldig,,adv.,,very
en,velferdsstat,,noun,"velferdsstaten, velferdsstater, velferdsstatene",welfare state
å,velge,,verb,"velger, valgte, har valgt",choose
,velkommen,,adj.,"velkomment, velkomne",welcome
,velkommen,,interj.,,welcome!
,• velkommen hit!,,,,• welcome here!
,• velkommen til Norge!,,,,• welcome to Norway!
,• velkommen til oss!,,,,• welcome to our home!
å,vende,,verb,"vender, vendte, har vendt",turn; face (in a direction)
,• vende mot,,,,• face toward
en,venn,,noun,"vennen, venner, vennene",friend
en,vennekrets,,noun,"vennekretsen, vennekretser, vennekretsene",circle of friends
ei/en,venninne,,noun,"venninna/venninnen, venninner, venninnene","female friend, girlfriend"
,vennlig,,adj.,"vennlig, vennlige",friendly
,venstre,,adj.,"venstre, venstre",left
,• på venstre side,,,,• on the left side
,venstre,,adv.,,left
,• ta til venstre,,,,• turn left
en,veranda,,noun,"verandaen, verandaer, verandaene",porch
et,verb,,noun,"verbet, verb, verbene",verb
en,verden,,noun,"verdenen, verdener, verdenene",world
en,verdenskrig,,noun,"verdenskrigen, verdenskriger, verdenskrigene",world war
,verken,,"conj., coord.",,neither
,• verken...eller,,,,• neither...nor
et,verksted,,noun,"verkstedet, verksteder, verkstedene",workshop
,verre,,adj./adv.,"comparative of ""vond"" and ""ille""",worse
,verst,,adj./adv.,"superlative of ""vond"" and ""ille""",worst
,• Det er det verste jeg vet!,,,,• That is the worst I know!
,• Det er ikke så verst!,,,,• That is not so bad!
ei/en,veske,,noun,"veska/vesken, vesker, veskene","bag, purse"
,vest,,adv.,,west
,• vest for,,,,• west of
,Vestlandet,,noun,,the western region of Norway
en,vestlending,,noun,"vestlendingen, vestlendinger, vestlendingene",person from western Norway
en,veterinær,,noun,"veterinæren, veterinærer, veterinærene",veterinarian
ei/en,veving,,noun,"vevinga/vevingen, vevinger, vevingene",weaving
,vi,,"pron., sub.",,we
,• Vi reiser til Tyskland.,,,,• We are going to Germany.
ei/en,vidde,,noun,"vidda/vidden, vidder, viddene",mountain plateau
et,videoopptak,,noun,"videoopptaket, videoopptak, videoopptakene",video recording
en,videofilm,,noun,"videofilmen, videofilmer, videofilmene",video
et,videokamera,,noun,"videokameraet, videokamera/-kameraer, videokameraene",video camera
et,videoklipp,,noun,"videoklippet, videoklipp, videoklippene",video clip
en,videospiller,,noun,"videospilleren, videospillere, videospillerne",VCR
,videre,,adj./adv.,"videre, videre","more, further"
en,videregående skole,,noun,"skolen, skoler, skolene","secondary school, high school"
en,vielse,,noun,"vielsen, vielser, vielsene",wedding ceremony
,Vietnam,,noun,,Vietnam
,vietnamesisk,,adj.,"vietnamesisk, vietnamesiske",Vietnamese
en,vietnamesisk,,noun,vietnamesisken,Vietnamese language
en,viking,,noun,"vikingen, vikinger, vikingene",viking
en,vikingferd,,noun,"vikingferden, vikingferder, vikingferdene",viking journey
et,vikingskip,,noun,"vikingskipet, vikingskip, vikingskipene",viking ship
,viktig,,adj.,"viktig, viktige",important
,vil,,verb,present tense of “ville”,want to; will
å,ville,,"verb, mod.","vil, ville, har villet","want to; be going to, will"
en,vin,,noun,"vinen, viner, vinene",wine
en,vind,,noun,"vinden, vinder, vindene",wind
ei/en,vindjakke,,noun,"vindjakka/vindjakken, vindjakker, vindjakkene",windbreaker
et,vindu,,noun,"vinduet, vinduer, vinduene",window
å,vinke,,verb,"vinker, vinket, har vinket",wave
et,vinmonopol,,noun,"vinmonopolet, vinmonopoler, vinmonopolene",Norwegian state liquor store
å,vinne,,verb,"vinner, vant, har vunnet",win
en,vinter,,noun,"vinteren, vintre/vintrer, vintrene",winter
en,vinterferie,,noun,"vinterferien, vinterferier, vinterferiene",winter vacation
å,virke,,verb,"virker, virket, har virket","appear, seem"
,virkelig,,adj./adv.,"virkelig, virkelige",real; really
ei/en,vise,,noun,"visa/visen, viser, visene","song, ballad"
å,vise,,verb,"viser, viste, har vist",show
et,viskelær,,noun,"viskelæret, viskelær, viskelærene",eraser
ei/en,visning,,noun,"visninga/visningen, visninger, visningene",showing of a home
å,vite,,verb,"vet, visste, har visst",know
,• jeg vet ikke,,,,• I don't know
ei/en,vogn,,noun,"vogna/vognen, vogner, vognene",train car; wagon
en,vokal,,noun,"vokalen, vokaler, vokalene",vowel
å,vokse,,verb,"vokser, vokste, har vokst",grow
,• vokse opp,,,,• grow up
,voksen,,adj.,"voksent, voksne","grown-up, adult"
,• voksne barn,,,,• adult children
ei/en,voksenopplæring,,noun,"-opplæringa/-opplæringen, opplæringer, opplæringene",adult education
en,volleyball,,noun,"volleyballen, volleyballer, volleyballene",volleyball
,vond,,adj./adv.,"vondt, vonde",painful; painfully
,• det gjør vondt,,,,• it hurts
,• ha vondt i,,,,• have pain in
en,vott,,noun,"votten, votter, vottene",mitten
å,vrikke,,verb,"vrikker, vrikket, har vrikket",sprain
et,vær,,noun,været,weather
,• vær så god,,,,• here you are! (when handing something to someone);
,• vær så god,,,,• please come and eat! (when calling people to the table);
,• vær så god,,,,"• may I help you? (at a kiosk, bakery, etc.)"
å,være,,verb,"er, var, har vært",be
,• være enig med noen,,,,• agree with someone
,• være flink til,,,,• be good at
,• være forsiktig,,,,• be careful
,• være glad for,,,,• be glad for
,• være glad i,,,,• be fond of
,• være i dårlig/god form,,,,• be in bad/good shape
,• være i veien,,,,• be in the way
,• være interessert i,,,,• be interested in
,• være lei av,,,,• be tired of
,• være lei seg,,,,• be sad
,• være på jakt etter,,,,• be on the lookout for
,• være redd for,,,,• be afraid of
,• være synd,,,,• be too bad
,• være tett i nesa,,,,• have a stuffy nose
en,væremåte,,noun,"væremåten, væremåter, væremåtene",demeanor
ei/en,værmelding,,noun,"værmeldinga/værmeldingen, værmeldinger, værmeldingene",weather forecast
,våken,,adj.,"våkent, våkne",awake
å,våkne,,verb,"våkner, våknet, har våknet",awaken
en,vår,,noun,"våren, vårer, vårene",spring
,vår,,"det., poss.","vårt, våre",our
,,,,,
,,,,,
,,,,,
,noun,"-designeren, -designere, -designerne",web designer,,
et,wienerbrød,,noun,"wienerbrødet, wienerbrød, wienerbrødene",Danish pastry
en,wok,,noun,"woken, woker, wokene","stir fry, wok"
,,,,,
,,,,,
,,,,,
en,yndling,,noun,"yndlingen, yndlinger, yndlingene",favorite
ei/en,yndlingsbok,,noun,,favorite book
en,yndlingsfilm,,noun,,favorite film
,yngre,,"adj., comp.",comparative of “ung”,younger
,yngst,,"adj., sup.",superlative of “ung”,youngest
en,yoga,,noun,"yogaen, yogaer, yogaene",yoga
et,yrke,,noun,"yrket, yrker, yrkene","job, profession"
en,yttergang,,noun,"yttergangen, ytterganger, yttergangene","foyer, entryway"
,,,,,
,,,,,
,,,,,
ei/en,ære,,noun,æra/æren,honor
,ærlig,,adj.,"ærlig, ærlige",honest
,æsj,,interj.,,ugh (expression of distaste)
